typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240501","2024","5","202405","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","25","false","5","u","25","false",,"false","0","false",,"7494","7494","0","false","true",
"C","M","20240501","2024","5","202405","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"788064","788064","0","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","107","false","5","u","107","false","72777.691","true","0","false","5712335","5452703","5712335","4","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1473","false","5","u","1473","false","1382744.877","true","0","false","37615600","36322137","37615600","4","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false",,"false","0","false","27419","22919","27419","0","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","145032.362","true","0","false",,"8981216","8981216","4","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","202.066","true","-1","N/A","0","false","83003.708","true","0","false",,"4268672","4268672","6","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","50","false","5","u","50","false",,"false","0","false",,"25365","25365","0","false","true",
"C","M","20240601","2024","6","202406","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"694057","694057","0","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","140","false","5","u","140","false",,"false","0","false","4814049","4583517","4814049","0","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1510","false","5","u","1510","false",,"false","0","false","39136660","37704541","39136660","0","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","190720.093","true","0","false",,"11444405","11444405","4","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","130871.046","true","0","false",,"6612168","6612168","4","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","32","false","5","u","32","false",,"false","0","false",,"42870","42870","0","false","true",
"C","M","20240701","2024","7","202407","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"615499","615499","0","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","146","false","5","u","146","false",,"false","0","false","11174403","10994497","11174403","0","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1515","false","5","u","1515","false",,"false","0","false","39355237","37979414","39355237","0","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","82753.793","true","0","false",,"4965748","4965748","4","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","85436.592","true","0","false",,"4316624","4316624","4","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","27","false","5","u","27","false",,"false","0","false",,"38965","38965","0","false","true",
"C","M","20240801","2024","8","202408","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"497654","497654","0","false","true",
