指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2020,959472.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2020,1099936.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2020,160738.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2020,1773583.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,10-2020,1847916.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,11-2020,1319382.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,12-2020,4604736.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2021,2630044.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2021,1470683.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2021,2393196.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2021,3245457.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2021,5783358.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2021,8681684.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2021,10292476.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2021,12230961.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2021,8050266.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,10-2021,11480338.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,11-2021,11130590.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,12-2021,13405597.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2022,11320010.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2022,12412345.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2022,15939956.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2022,14231334.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2022,19034904.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2022,21216101.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2022,22552316.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2022,16688084.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2022,18008182.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,10-2022,15725595.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,11-2022,19346284.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,12-2022,21359533.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2023,12735116.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2023,13684271.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2023,10856704.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2023,16824205.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2023,21729534.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2023,24970587.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2023,23785775.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2023,17543143.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2023,16620474.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,10-2023,12187589.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,11-2023,10236067.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,12-2023,9409132.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,01-2024,7549725.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,02-2024,7518498.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,03-2024,6801260.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,04-2024,12203081.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,05-2024,11017418.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,06-2024,12142023.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,07-2024,6642101.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,08-2024,10456383.00000
进口金额（美元）,合计,本期值,美国,020220 - 冻带骨牛肉,合计,09-2024,6130224.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2019,4856233.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2019,4773485.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2019,2341501.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2019,3189722.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2019,4316637.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2019,4216384.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,07-2019,6186414.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,08-2019,6586149.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,09-2019,6317172.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,10-2019,9297222.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,11-2019,5901254.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,12-2019,7038269.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2020,8587356.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2020,3495920.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2020,7710515.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2020,3351420.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2020,8078104.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2020,10270777.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,07-2020,8010774.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,08-2020,9500433.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,09-2020,15304525.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,10-2020,24194076.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,11-2020,29186043.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,12-2020,39598512.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2021,49302494.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2021,30866373.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2021,50066548.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2021,65071367.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2021,84433842.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2021,85045063.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,07-2021,96414100.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,08-2021,117980946.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,09-2021,129944328.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,10-2021,125180809.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,11-2021,87721630.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,12-2021,105609120.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2022,90834147.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2022,74970116.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2022,85913856.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2022,87470714.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2022,117940674.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2022,116774314.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,07-2022,129476841.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,08-2022,114287309.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,09-2022,134209140.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,10-2022,98863705.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,11-2022,123377999.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,12-2022,105536166.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2023,82590050.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2023,56213821.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2023,83651678.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2023,88244345.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2023,102724887.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2023,90426317.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,07-2023,84303208.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,08-2023,97806213.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,09-2023,90881297.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,10-2023,69973221.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,11-2023,75471327.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,12-2023,75767467.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,01-2024,71572178.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,02-2024,60145197.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,03-2024,90049996.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,04-2024,92056241.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,05-2024,85668218.00000
进口金额（美元）,合计,本期值,美国,020230 - 冻去骨牛肉,合计,06-2024,79802578.00000
