,time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,gdp,population,lgdp,lpopu,lexp,limp,lexq,limq
235,10-2021,03,1282549470.0,1075906947.0,274713924.0,207393515.0,4.66867296468016,3.916463102176066,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.3651889766588738,1.540874869560485,19.15012858518984,19.431240837804207
236,10-2022,03,1784687629.0,1077887222.0,349672093.0,196989211.0,5.1038892285865085,3.0825657625471417,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.125762289988449,1.6300028429438334,19.098659518705063,19.672506396161182
237,10-2023,03,1520813639.0,889752270.0,403011219.0,208569633.0,3.77362606126357,2.2077605487206053,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.7919786753966259,1.3280363591712883,19.155783514670176,19.814474958233145
238,11-2017,03,747456587.0,1307824384.0,263027922.0,300328073.0,2.8417385550420766,4.972188405153427,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.6038600661633233,1.0444160321435039,19.520386011767762,19.38777075180707
239,11-2018,03,1097035344.0,1269310798.0,341553254.0,287681778.0,3.2119013101248335,3.7162895774958713,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.312725745120988,1.166863070246614,19.477365489706738,19.649014166252364
240,11-2019,03,1453901439.0,1128498105.0,403744514.0,256865892.0,3.601043205753627,2.795079724600295,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,1.027860630207522,1.2812235828601377,19.364064685651854,19.816292844792727
241,11-2020,03,1032211558.0,1071888041.0,305329298.0,239058729.0,3.380650218506054,3.5105967492186094,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.2557860370494243,1.218068063332811,19.29221980774307,19.536901417725755
242,11-2021,03,1456199932.0,1124591941.0,337700655.0,217587825.0,4.312102776347887,3.330144387786278,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.203015662747927,1.461425668282733,19.198113120093964,19.63767042494527
243,11-2022,03,1884648910.0,1094487669.0,408925620.0,202078704.0,4.608781689931778,2.676495713328013,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,0.984508369253907,1.5279635465787647,19.124167803244227,19.82904383927816
244,11-2023,03,1621068816.0,941455561.0,456927789.0,221447580.0,3.5477571183572727,2.0604033802811674,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,0.7229017793025734,1.2663156061732488,19.215696460299057,19.940035925432515
245,12-2017,03,833894713.0,1377814214.0,249208317.0,322230967.0,3.3461752923759764,5.528764972960353,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,1.7099644583966604,1.2078179898283719,19.59077913519988,19.333799719120005
246,12-2018,03,1091694416.0,1275655147.0,298911186.0,302427975.0,3.652236741652084,4.2676728297481645,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.4510686739286467,1.2953397858375968,19.52735370791151,19.515657050441497
247,12-2019,03,1686549545.0,1249629178.0,490472335.0,281126511.0,3.4386231896239368,2.547807671965841,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9352332529009794,1.235071155695235,19.454315343062568,20.01087943374807
248,12-2020,03,1172005888.0,1097095780.0,323047885.0,231102694.0,3.627963352863307,3.3960778910532103,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.2226212043030364,1.2886714310065328,19.25837273246788,19.593311120972864
249,12-2021,03,1613546762.0,1073240275.0,372884004.0,188269037.0,4.327208313285544,2.8782148429193546,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.0571702557552156,1.464922602742939,19.05338254569339,19.736777948010154
250,12-2022,03,1800607412.0,1174154481.0,414708909.0,211958468.0,4.341858525156497,2.831273829711722,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,1.040726726889009,1.4683024880502085,19.17190090778389,19.843087407985614
251,12-2023,03,1510148712.0,984609916.0,354843070.0,224891136.0,4.255821346602598,2.774775666324835,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,1.0205699029665676,1.448287774326195,19.231127003080353,19.687186193365953
252,01-2017,03,573848380.0,1344969740.0,168900658.0,325805424.0,3.3975497004872532,7.963081706881213,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,2.0748160740390937,1.2230544954828184,19.6018109022441,18.94482127756677
253,01-2018,03,872408206.0,1390872366.0,252336113.0,312573192.0,3.4573260070785032,5.511983003399914,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,1.7069244501434526,1.2404954599581948,19.56034921411682,19.346272538524985
