time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,tea,btea,gtea,lgdp,lpop,lfdi,lexp,limp,lexq,limq,len,dropped,missing1,rate,is_tea,i0901,i0902,i0903,tea_sq,tea_pr
01-2018,090122,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,090190,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,1,1,0,0,2985.8,261.03931
01-2018,090210,227586.0,,30681.0,,7.417815586193409,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.003884618444735,,10.331398849474123,6,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,090220,15306.0,,2551.0,,6.0,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.791759469228055,,7.844240718141811,6,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,090230,73795.0,,5969.0,,12.36304238565924,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.5147115694472264,,8.69433468816865,6,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,090240,2400.0,,400.0,,6.0,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,1.791759469228055,,5.991464547107982,6,0,1,6.429695652173914,1,0,1,0,2985.8,261.03931
01-2018,090300,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,1,0,0,1,2985.8,261.03931
01-2018,090411,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090412,8082.0,,705.0,,11.463829787234042,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,2.43919684282615,,6.558197802812269,6,0,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090421,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090422,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090619,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
01-2018,090921,,,,,,,2018,13831000.0,919281.1,140541.0,261.04,23.33,173.46,13.731347230519434,11.853254540132857,16.442423007606845,,,,,6,1,1,6.429695652173914,0,0,0,0,2985.8,261.03931
