指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,11-2019,50.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,12-2019,69.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2020,44.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2020,381.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2020,473.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2020,237.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2020,54.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2020,187.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2020,123.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2020,562907.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,09-2020,65.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,10-2020,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,11-2020,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,12-2020,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2021,87.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2021,88.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2021,29.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2021,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2021,61.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2021,36.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2021,54.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2021,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,09-2021,369.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,10-2021,302.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,11-2021,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,12-2021,173.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2022,107.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2022,108.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2022,89.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2022,53.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2022,260.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2022,174.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2022,123.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2022,155.00000
