time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,lgdp,lpop,lfdi,lexp,limp,lexq,limq
11-2017,010619,1000000.0,,100.0,,10000.0,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.210340371976184,,4.605170185988092
11-2017,0105,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
11-2017,0106,1000000.0,,100.0,,10000.0,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.210340371976184,,4.605170185988092
11-2017,01,1000000.0,,100.0,,10000.0,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.210340371976184,,4.605170185988092
11-2018,01051110,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
11-2018,01061110,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
11-2018,01061910,115345.0,,85.0,,1357.0,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.213031659834869,,4.442651256490317
11-2018,010511,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
11-2018,010611,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
11-2018,010619,115345.0,,85.0,,1357.0,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.213031659834869,,4.442651256490317
11-2018,0105,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
11-2018,0106,115345.0,,85.0,,1357.0,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.213031659834869,,4.442651256490317
11-2018,01,115345.0,,85.0,,1357.0,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,7.213031659834869,,4.442651256490317
11-2020,01051110,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
11-2020,01061110,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
11-2020,01061910,100000.0,,114.0,,877.1929824561404,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.776727016575733,,4.736198448394496
11-2020,010511,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
11-2020,010611,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
11-2020,010619,100000.0,,114.0,,877.1929824561404,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.776727016575733,,4.736198448394496
11-2020,0105,,,,,,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,,,
11-2020,0106,100000.0,,114.0,,877.1929824561404,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.776727016575733,,4.736198448394496
11-2020,01,100000.0,,114.0,,877.1929824561404,,2020,14934000,1013567.0,141212,13.828986350237285,11.85801758626588,16.519151050577783,,6.776727016575733,,4.736198448394496
12-2018,01051110,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
12-2018,01061110,,,,,,,2018,13831000,919281.1,140541,13.731347230519434,11.853254540132857,16.442423007606845,,,,
